Category	Question	Answer
Medium	Question: What do Santa’s reindeer pull on Christmas?	Answer: Santa’s sleigh
Medium	Question: What do we leave out for Santa on Christmas Eve?	Answer: Milk and cookies
Medium	Question: Why did the other reindeer pick on Rudolph?	Answer: Because of his red nose
Medium	Question: What did Frosty the Snowman use for a nose?	Answer: A button
Medium	Question: Where was Jesus born?	Answer: Bethlehem
Hard	Question: Who's the author of A Christmas Carol?	Answer: Charles Dickens
Hard	Question: How many gifts, in total, were given in “The Twelve Days of Christmas” song?	Answer: 364
Hard	Question: What Christmas beverage is also known as "milk punch?"	Answer: Eggnog
Hard	Question: What Christmas decoration was originally made from strands of silver?	Answer: Tinsel
Hard	Question: What Christmas-themed ballet premiered in Saint Petersburg, Russia in 1892?	Answer: The Nutcracker
Hard	Question: What much-reviled Christmas dessert is known for its long shelf life?	Answer: Fruitcake
Hard	Question: According to legend, what holiday goodies were shaped to resemble a shepherd’s staff, as a way to remind children of the shepherds who visited baby Jesus?	Answer: Candy canes
Hard	Question: How much do Americans spend on holiday shopping (within $100)?	Answer: Americans spend an average of $932 per person on holiday gifts as of 2023
Hard	Question: What sparks roughly 160 accidental fires each holiday season?	Answer: Dried-out Christmas trees
Hard	Question: What are three alternative names for Santa Claus?	Answer: Saint Nicholas, Father Christmas, and Kris Kringle
Hard	Question: What is the best-selling Christmas single of all time?	Answer: "White Christmas"
Hard	Question: Who wrote, “Christmas doesn’t come from a store. Maybe Christmas, perhaps, means a little bit more?”	Answer: Dr. Seuss
Very Hard	Question: Which one of Santa’s reindeer has the same name as another holiday mascot?	Answer: Cupid
Very Hard	Question: What popular Christmas song was actually written for Thanksgiving?	Answer: “Jingle Bells”
Very Hard	Question: What saint is celebrated on the 26th of December?	Answer: St. Stephen
Very Hard	Question: In the early 1800s, the first gingerbread houses were reportedly inspired by what famous fairy tale?	Answer: Hansel and Gretel
Very Hard	Question: How many reindeer are featured in the poem "Twas the Night Before Christmas?"	Answer: Eight (no Rudolph!)
Very Hard	Question: What country has a tradition of a witch dropping gifts for children through the chimney on Christmas?	Answer: Italy
Very Hard	Question: In what country is KFC a popular Christmas meal?	Answer: Japan
Very Hard	Question: When following a traditional bread sauce recipe, what would you stick into an onion?	Answer: Cloves
Very Hard	Question: What's another name for a Christmas tree?	Answer: A Yule-tree
Very Hard	Question: What type of bird, whose name begins with the letter ‘R’, do you often see on Christmas cards?	Answer: A robin
